pdb_id,metric,metric_column,threshold,training_systems,systems_calculated,percent_training_calculated,minimum_calculated,median_calculated,maximum_calculated,systems_above_threshold,percent_calculated_above_threshold,percent_training_above_threshold,minimum_passing,median_passing,maximum_passing
9szn,Protein sequence,protein_fident_max,,167997,89,0.052977136496485056,8.0,12.0,96.0,,,,,,
9szn,Protein structure,protein_lddt_max,,167997,89,0.052977136496485056,32.0,43.0,95.0,,,,,,
9szn,Pocket coverage,pocket_qcov,70.0,167997,81,0.048215146699048195,3.0,48.0,87.0,26.0,32.098765432098766,0.015476466841669792,71.0,77.0,87.0
9szn,Protein-ligand interaction coverage,pli_qcov,50.0,167997,75,0.044643654350970556,0.0,20.0,67.0,5.0,6.666666666666667,0.0029762436233980367,53.0,60.0,67.0
9szn,Ligand pose (SuCOS shape),sucos_shape,50.0,167997,89,0.052977136496485056,14.034808359418163,31.266367823776548,69.98955367681592,6.0,6.741573033707865,0.0035714923480776443,51.516390808085255,66.42925260322357,69.98955367681592
9szn,Ligand chemistry (Morgan Tanimoto),morgan_tanimoto,50.0,167997,89,0.052977136496485056,5.660377358490567,14.516129032258066,34.31372549019608,0.0,0.0,0.0,,,
