pdb_id,metric,metric_column,threshold,training_systems,systems_calculated,percent_training_calculated,minimum_calculated,median_calculated,maximum_calculated,systems_above_threshold,percent_calculated_above_threshold,percent_training_above_threshold,minimum_passing,median_passing,maximum_passing
9x53,Protein sequence,protein_fident_max,,167997,32,0.019047959189747436,7.0,13.0,78.0,,,,,,
9x53,Protein structure,protein_lddt_max,,167997,32,0.019047959189747436,47.0,55.0,88.0,,,,,,
9x53,Pocket coverage,pocket_qcov,70.0,167997,29,0.017262213015708613,32.0,68.0,82.0,11.0,37.93103448275862,0.006547735971475681,73.0,77.0,82.0
9x53,Protein-ligand interaction coverage,pli_qcov,50.0,167997,22,0.013095471942951362,8.0,25.0,42.0,0.0,0.0,0.0,,,
9x53,Ligand pose (SuCOS shape),sucos_shape,50.0,167997,33,0.019643207914427044,17.00939793300564,35.463980354875034,44.83761523275386,0.0,0.0,0.0,,,
9x53,Ligand chemistry (Morgan Tanimoto),morgan_tanimoto,50.0,167997,33,0.019643207914427044,4.0,8.080808080808081,14.285714285714285,0.0,0.0,0.0,,,
