similarity_metric,similarity_column,threshold,n_total,n_below,n_above,mean_success_below_percent,mean_success_above_percent,delta_success_percent,delta_from_maximum_pp,within_tolerance,maximum_delta_percent,selection_tolerance_pp,n_candidate_thresholds
Interaction,pli_qcov,50,2008,261,1747,27.25095785440613,64.0788971570311,36.82793930262497,0.0,True,36.82793930262497,2.0,1
Ligand chemistry,morgan_tanimoto,50,2008,936,1072,50.18696581196581,67.24191542288557,17.054949610919756,0.5967668015690251,True,17.65171641248878,2.0,5
Ligand pose,sucos_shape,50,2007,125,1882,17.0,62.105915692525684,45.10591569252568,0.0,True,45.10591569252568,2.0,1
Pocket,pocket_qcov,70,2008,111,1897,24.66216216216216,61.318309611667544,36.65614744950538,0.0,True,36.65614744950538,2.0,2
Protein sequence,protein_fident_max,50,2008,243,1765,55.401234567901234,59.827667610953725,4.426433043052491,0.29710576983724746,True,4.723538812889738,2.0,5
Protein structure,protein_lddt_max,70,2008,44,1964,53.125,59.430159538357096,6.305159538357097,1.7331020608733692,True,8.038261599230466,2.0,3
