similarity_metric,threshold,bootstrap_mean_difference_pp,bootstrap_standard_error_pp,interval_lower_95_pp,interval_upper_95_pp
Interaction,50,36.85273177664173,2.2890710189720744,32.182948546715004,41.282586651007634
Ligand chemistry,50,16.98766872767572,1.7374594723613006,13.667808792575581,20.370458405089934
Ligand pose,50,45.016556907545166,2.5602045158501,40.0733931101665,49.96036795961743
Pocket,70,36.74773878385502,3.2312374327591464,30.381772784909312,43.09377033200833
Protein sequence,50,4.383127499154805,2.6220601089311653,-0.5324285372876836,9.483437816948188
Protein structure,70,6.294393881534283,5.827523929219165,-5.22184356292045,18.01630581528111
