similarity_quantile,similarity_quantile_label,density_group,mean_success_percent,n_queries
"(4.999, 26.788]","Q1
5.0–26.8",No neighbours,39.863184079601986,402
"(26.788, 42.466]","Q2
26.8–42.5",No neighbours,56.77860696517413,402
"(42.466, 61.842]","Q3
42.5–61.8",High density,63.16964285714286,56
"(42.466, 61.842]","Q3
42.5–61.8",Low density,63.84976525821596,213
"(42.466, 61.842]","Q3
42.5–61.8",No neighbours,61.5530303030303,132
"(61.842, 83.257]","Q4
61.8–83.3",High density,69.93243243243244,185
"(61.842, 83.257]","Q4
61.8–83.3",Low density,62.326388888888886,216
"(83.257, 100.0]","Q5
83.3–100.0",High density,75.60579196217493,282
"(83.257, 100.0]","Q5
83.3–100.0",Low density,60.20833333333333,120
