model,metric,similarity_quantile,density_group,mean_success_percent,n_queries
Boltz-2,Pocket,Q3,High density,71.42857142857143,7
Boltz-2,Pocket,Q3,Low density,27.999999999999996,10
Boltz-2,Pocket,Q4,High density,54.0,10
Boltz-2,Pocket,Q4,Low density,45.714285714285715,7
Boltz-2,Pocket,Q5,High density,60.0,7
Boltz-2,Pocket,Q5,Low density,45.45454545454545,11
Boltz-2,Protein sequence,Q1,High density,27.500000000000004,8
Boltz-2,Protein sequence,Q1,Low density,0.0,1
Boltz-2,Protein sequence,Q1,No neighbours,0.0,9
Boltz-2,Protein sequence,Q2,High density,74.0,10
Boltz-2,Protein sequence,Q2,Low density,27.500000000000004,8
Boltz-2,Protein sequence,Q3,High density,50.90909090909091,11
Boltz-2,Protein sequence,Q3,Low density,54.285714285714285,7
Boltz-2,Protein sequence,Q4,High density,75.0,4
Boltz-2,Protein sequence,Q4,Low density,55.714285714285715,14
Boltz-2,Protein sequence,Q5,High density,50.0,6
Boltz-2,Protein sequence,Q5,Low density,25.0,12
Boltz-2,Protein structure,Q1,High density,46.666666666666664,9
Boltz-2,Protein structure,Q1,Low density,90.0,2
Boltz-2,Protein structure,Q1,No neighbours,0.0,7
Boltz-2,Protein structure,Q2,High density,66.66666666666666,12
Boltz-2,Protein structure,Q2,Low density,26.666666666666668,6
Boltz-2,Protein structure,Q3,High density,74.0,10
Boltz-2,Protein structure,Q3,Low density,40.0,8
Boltz-2,Protein structure,Q4,High density,72.5,8
Boltz-2,Protein structure,Q4,Low density,4.0,10
Boltz-2,Protein structure,Q5,High density,0.0,2
Boltz-2,Protein structure,Q5,Low density,35.0,16
